Beans,Bread,Cerel,ChdBby,Chips,Corn,Eggs,Fish,Fruit,Meat,Milk,Pepper,Rice,Salza,Sauce,Soda,Tomato,Tortya,Vegges,YogChs
5.03,1.57,1.05,4.7,2.4,4.98,5.56,1.36,5.22,7.57,2.54,4.87,7.97,2.11,0.58,1.19,6.73,7.19,8.89,8.49
2.08,6.37,8.01,4.72,2.98,1.03,4.87,1.53,5.2,7.07,8.04,5.01,5.98,1.05,0.89,1.14,0.98,0.96,7.51,5.49
8.01,4.24,6.78,4.77,8.05,6.08,5.04,1.37,5.05,4.,6.73,8.22,7.63,7.95,0.98,0.55,5.21,8.05,6.57,6.31
1.64,3.37,5.53,4.94,1.48,0.55,7.6,7.54,5.03,6.06,5.15,1.08,7.54,0.96,1.02,0.96,2.28,0.96,6.98,2.05
7.96,3.26,5.46,5.,0.51,0.55,1.07,1.48,5.22,1.05,2.04,1.07,7.53,1.99,7.94,0.94,0.96,1.06,6.97,6.09
2.1,3.46,7.3,4.74,7.94,0.53,5.12,1.38,5.15,7.52,1.88,2.02,1.57,2.02,0.97,7.88,2.03,1.98,2.01,1.01

5.03,1.57,1.05,4.7,2.4,4.98,5.56,1.36,5.22,7.57,2.54,4.87,7.97,2.11,0.58,1.19,6.73,7.19,8.89,8.49
2.08,6.37,8.01,4.72,2.98,1.03,4.87,1.53,5.2,7.07,8.04,5.01,5.98,1.05,0.89,1.14,0.98,0.96,7.51,5.49
8.01,4.24,6.78,4.77,8.05,6.08,5.04,1.37,5.05,4.,6.73,8.22,7.63,7.95,0.98,0.55,5.21,8.05,6.57,6.31
1.64,3.37,5.53,4.94,1.48,0.55,7.6,7.54,5.03,6.06,5.15,1.08,7.54,0.96,1.02,0.96,2.28,0.96,6.98,2.05
7.96,3.26,5.46,5.,0.51,0.55,1.07,1.48,5.22,1.05,2.04,1.07,7.53,1.99,7.94,0.94,0.96,1.06,6.97,6.09
2.1,3.46,7.3,4.74,7.94,0.53,5.12,1.38,5.15,7.52,1.88,2.02,1.57,2.02,0.97,7.88,2.03,1.98,2.01,1.01


4.44,3.69,5.83,4.82,4.02,2.07,4.78,2.44,5.14,5.45,4.17,3.45,6.12,2.63,2.24,2.42,2.84,3.13,6.19,4.61

